iter	RMSE
0	49.10123275
1	48.72821742
2	48.37457328
3	48.01775393
4	47.6661659
5	47.32248119
6	46.98891808
7	46.67737873
8	46.35303699
9	46.02228026
10	45.68669956
11	45.4125983
12	45.10938912
13	44.82620072
14	44.52363177
15	44.21250378
16	43.89985778
17	43.60971706
18	43.3335689
19	43.03722921
20	42.74553857
21	42.45596319
22	42.20532267
23	41.95634293
24	41.6728296
25	41.39736502
26	41.13102011
27	40.86668941
28	40.61297057
29	40.34102854
30	40.08380344
31	39.84249118
32	39.59203958
33	39.33503895
34	39.09089225
35	38.83659682
36	38.61533313
37	38.37083379
38	38.13336952
39	37.8885389
40	37.65396608
41	37.4351522
42	37.22086099
43	37.00180559
44	36.79853201
45	36.59935861
46	36.39403478
47	36.20701464
48	35.99119181
49	35.79212178
50	35.60039083
51	35.41255533
52	35.20899511
53	35.01174028
54	34.80992499
55	34.63284055
56	34.4308129
57	34.24667226
58	34.05280719
59	33.87558931
60	33.69258624
61	33.50531651
62	33.34446385
63	33.15780732
64	33.00359455
65	32.83320297
66	32.6816453
67	32.53054225
68	32.36545936
69	32.19113049
70	32.02509375
71	31.86922246
72	31.7151008
73	31.5746187
74	31.43259853
75	31.29179581
76	31.13588715
77	30.99374243
78	30.83350546
79	30.70368218
80	30.54746357
81	30.40581396
82	30.27660743
83	30.13710148
84	30.00124292
85	29.88816838
86	29.76150682
87	29.62274384
88	29.48989868
89	29.37205125
90	29.24934629
91	29.14023213
92	29.02793326
93	28.90787446
94	28.79526578
95	28.67490755
96	28.55890746
97	28.44574271
98	28.33143455
99	28.23661779
100	28.13600934
101	28.02918113
102	27.91945296
103	27.82485765
104	27.7166766
105	27.61207231
106	27.51345208
107	27.41603967
108	27.31095794
109	27.21781625
110	27.13111744
111	27.03804366
112	26.94065093
113	26.85154236
114	26.76069812
115	26.67281996
116	26.58752711
117	26.50621594
118	26.42428893
119	26.34194662
120	26.26802929
121	26.19313134
122	26.10872599
123	26.03658606
124	25.95450143
125	25.87612821
126	25.79827251
127	25.72836852
128	25.65063707
129	25.5748638
130	25.50228565
131	25.42642713
132	25.36439203
133	25.29600418
134	25.22636779
135	25.156836
136	25.09664933
137	25.03786013
138	24.97882592
139	24.92303251
140	24.85860067
141	24.8030883
142	24.75447112
143	24.69886083
144	24.64202882
145	24.59545329
146	24.54538719
147	24.4993816
148	24.45355302
149	24.4063892
150	24.35405847
151	24.29927833
152	24.25017422
153	24.20073707
154	24.15623592
155	24.10679608
156	24.05194943
157	23.99623303
158	23.94679994
159	23.8996648
160	23.85597213
161	23.81031674
162	23.76294293
163	23.71261543
164	23.66432417
165	23.61924391
166	23.5798515
167	23.54147342
168	23.50072574
169	23.45495631
170	23.42054026
171	23.37941212
172	23.33729287
173	23.30033148
174	23.25813686
175	23.22887395
176	23.19678185
177	23.16086156
178	23.12191869
179	23.0878865
180	23.04947332
181	23.01108096
182	22.97683291
183	22.94752356
184	22.91158475
185	22.87920213
186	22.84978032
187	22.81584813
188	22.78277352
189	22.75320111
190	22.71925323
191	22.68958031
192	22.66214947
193	22.63093753
194	22.60144112
195	22.57409731
196	22.54687516
197	22.52492524
198	22.5073611
199	22.47780155
200	22.44965863
201	22.42365152
202	22.39563442
203	22.37386311
204	22.34705612
205	22.32176737
206	22.29727581
207	22.27483704
208	22.25109241
209	22.2311642
210	22.20976506
211	22.18748897
212	22.1661306
213	22.14340101
214	22.11732254
215	22.09445342
216	22.07253375
217	22.05114803
218	22.03916878
219	22.01629324
220	21.99710922
221	21.97568455
222	21.96316565
223	21.94215354
224	21.92250769
225	21.90327931
226	21.88016741
227	21.8626833
228	21.84186299
229	21.82439388
230	21.80405928
231	21.78878392
232	21.77206455
233	21.75633177
234	21.74371227
235	21.72962612
236	21.71600516
237	21.69892331
238	21.68301782
239	21.66796098
240	21.65157231
241	21.6362651
242	21.62204276
243	21.60585404
244	21.59035103
245	21.57709897
246	21.56390139
247	21.5491204
248	21.53456578
249	21.5228042
250	21.51176905
251	21.49847535
252	21.48725831
253	21.47343737
254	21.45937794
255	21.44611339
256	21.43379643
257	21.42246826
258	21.40959121
259	21.39852048
260	21.38675114
261	21.37571155
262	21.36398418
263	21.35139747
264	21.34195248
265	21.33091096
266	21.32249671
267	21.31379044
268	21.30231053
269	21.29246683
270	21.28398263
271	21.27749622
272	21.26778127
273	21.25794598
274	21.24771956
275	21.23828701
276	21.22815247
277	21.2196128
278	21.21201729
279	21.20302695
280	21.19540412
281	21.18591117
282	21.17881477
283	21.16975346
284	21.16232817
285	21.1526902
286	21.14377899
287	21.13729168
288	21.13110024
289	21.12588113
290	21.12055447
291	21.11337558
292	21.10593951
293	21.10107481
294	21.09345718
295	21.08792847
296	21.07902102
297	21.07590132
298	21.06907311
299	21.06336095
300	21.05865005
301	21.05184662
302	21.04550747
303	21.04057341
304	21.03640911
305	21.03373407
306	21.02970603
307	21.02306216
308	21.0176994
309	21.01184753
310	21.00638961
311	20.99965837
312	20.99318772
313	20.98762811
314	20.9843423
315	20.97983641
316	20.97458312
317	20.96841189
318	20.96406554
319	20.95932201
320	20.95529196
321	20.9492738
322	20.94413696
323	20.93888046
324	20.93495401
325	20.92953537
326	20.92581177
327	20.92211791
328	20.91813164
329	20.91446485
330	20.91028065
331	20.90558026
332	20.90055885
333	20.89339103
334	20.88849483
335	20.88556299
336	20.87971479
337	20.87551757
338	20.87097127
339	20.86751544
340	20.86287125
341	20.85774442
342	20.8542892
343	20.85226572
344	20.84798572
345	20.84367444
346	20.83971894
347	20.83555643
348	20.83187674
349	20.82886255
350	20.82511063
351	20.82125807
352	20.8168194
353	20.81365959
354	20.81068266
355	20.80738446
356	20.80511817
357	20.80254604
358	20.79830853
359	20.79443785
360	20.79035226
361	20.78784137
362	20.78405062
363	20.77900894
364	20.77469149
365	20.77081051
366	20.76876321
367	20.76595412
368	20.76313464
369	20.760818
370	20.75841642
371	20.75667973
372	20.75352968
373	20.75201643
374	20.7476526
375	20.74388201
376	20.74170087
377	20.73938512
378	20.73666418
379	20.73371893
380	20.73023042
381	20.72723615
382	20.72398511
383	20.71920496
384	20.71582063
385	20.71285596
386	20.71123502
387	20.70835931
388	20.70650575
389	20.70508739
390	20.70329481
391	20.69925254
392	20.69534383
393	20.69285788
394	20.69093938
395	20.68900584
396	20.68594542
397	20.68418497
398	20.68271263
399	20.67999498
400	20.67766788
401	20.67582712
402	20.67463829
403	20.67100757
404	20.66769225
405	20.66551881
406	20.66305857
407	20.66083097
408	20.65852936
409	20.65621412
410	20.65442384
411	20.65248219
412	20.65008056
413	20.64756572
414	20.64596731
415	20.64487928
416	20.64253794
417	20.63944382
418	20.63803696
419	20.63618759
420	20.63303945
421	20.63085408
422	20.62792262
423	20.62505585
424	20.62296769
425	20.62067934
426	20.61862331
427	20.61647073
428	20.61552523
429	20.61379105
430	20.6114164
431	20.60935578
432	20.60761973
433	20.6057532
434	20.60403869
435	20.60202262
436	20.60040662
437	20.59909258
438	20.59769808
439	20.59593352
440	20.59411182
441	20.59187121
442	20.58902897
443	20.58760861
444	20.58577628
445	20.58408593
446	20.58197935
447	20.58065065
448	20.57946162
449	20.57776375
450	20.57539977
451	20.57465762
452	20.5727877
453	20.57109852
454	20.56926906
455	20.56744897
456	20.56607537
457	20.56524423
458	20.5640717
459	20.56263389
460	20.56172626
461	20.55991173
462	20.55776359
463	20.5569397
464	20.55615628
465	20.55374122
466	20.55236892
467	20.55059444
468	20.54852238
469	20.54557806
470	20.54443755
471	20.54358901
472	20.54222927
473	20.54070647
474	20.53904375
475	20.53781707
476	20.53588009
477	20.53429178
478	20.53323305
479	20.53155434
480	20.52912098
481	20.52608706
482	20.5253358
483	20.52420414
484	20.52255103
485	20.52019357
486	20.51818594
487	20.51735729
488	20.51654596
489	20.5144274
490	20.51295331
491	20.51239108
492	20.51127977
493	20.50964367
494	20.50847097
495	20.50499757
496	20.5028426
497	20.50106655
498	20.49993584
499	20.49846297
500	20.49693137
501	20.49510114
502	20.49430981
503	20.49312727
504	20.49236193
505	20.49193412
506	20.49038649
507	20.48957311
508	20.48828636
509	20.48735418
510	20.48575205
511	20.48504389
512	20.48460747
513	20.4830061
514	20.48212437
515	20.48088957
516	20.47936785
517	20.47841417
518	20.47660075
519	20.47444397
520	20.47360331
521	20.47239158
522	20.47187114
523	20.47101946
524	20.46925201
525	20.46766011
526	20.46671191
527	20.4651488
528	20.46424095
529	20.46384891
